subject,session,block,problem,l_r1,l_r2,un_r1,un_r2,post_2cause,struct
1,1,1,1,30,100,24,-40,1,1
1,1,1,2,30,100,28,-27,1,1
1,1,1,3,26,100,35,-29,1,1
1,1,1,4,21,100,22,-34,1,1
1,1,1,5,38,100,20,-6,1,1
1,1,2,1,37,-100,38,100,1,2
1,1,2,2,27,-100,44,89,1,2
1,1,2,3,30,-100,34,49,1,2
1,1,3,1,43,100,36,-14,1,1
1,1,3,2,50,100,37,-34,1,1
1,1,3,3,50,100,34,45,1,1
1,1,3,4,27,100,34,-11,1,1
1,1,4,1,-28,100,-18,97,2,3
1,1,4,2,7,100,70,100,2,3
1,1,4,3,0,100,65,76,2,3
1,1,4,4,54,100,100,99,2,3
1,1,4,5,1,100,90,91,2,3
1,1,5,1,34,100,43,29,2,1
1,1,5,2,31,100,31,36,2,1
1,1,5,3,44,100,33,-29,2,1
1,1,5,4,44,100,46,1,2,1
1,1,6,1,36,-100,35,83,2,2
1,1,6,2,52,-100,59,73,2,2
1,1,6,3,50,-100,58,-8,2,2
1,1,6,4,13,-100,19,100,2,2
1,1,7,1,35,100,33,-2,2,1
1,1,7,2,29,100,42,14,2,1
1,1,7,3,30,100,29,64,2,1
1,1,7,4,24,100,23,17,2,1
1,2,1,1,47,100,36,45,1,1
1,2,1,2,36,100,37,-5,1,1
1,2,1,3,35,100,27,-9,1,1
1,2,2,1,36,-100,34,94,1,2
1,2,2,2,28,-100,28,100,1,2
1,2,2,3,22,-100,23,-57,1,2
1,2,2,4,26,-100,7,15,1,2
1,2,2,5,27,-100,39,99,1,2
1,2,3,1,39,100,76,-17,1,1
1,2,3,2,22,100,17,12,1,1
1,2,3,3,41,100,23,12,1,1
1,2,3,4,7,100,7,-31,1,1
1,2,4,1,63,100,61,82,2,3
1,2,4,2,5,100,16,55,2,3
1,2,4,3,-7,100,80,100,2,3
1,2,4,4,-9,100,100,100,2,3
1,2,4,5,-7,100,91,100,2,3
1,2,5,1,-47,100,-40,-53,2,1
1,2,5,2,54,100,55,33,2,1
1,2,5,3,43,100,58,49,2,1
1,2,5,4,63,100,50,48,2,1
1,2,5,5,56,100,51,7,2,1
1,2,6,1,70,-100,68,100,2,2
