trial,struct,time,l,un,order,baserate,mag,session,subject,block
1,2,1,62,47,1,1,40,D,1,1
1,2,2,-100,69,1,1,40,D,1,1
2,1,1,57,51,2,1,40,D,1,1
2,1,2,44,-50,1,1,40,D,1,1
3,1,1,69,65,2,3,100,D,1,1
3,1,2,-43,51,2,3,100,D,1,1
4,2,1,53,49,2,1,60,D,1,1
4,2,2,-100,48,1,1,60,D,1,1
5,1,1,59,63,1,3,80,D,1,1
5,1,2,70,-72,2,3,80,D,1,1
6,1,1,23,25,2,1,20,D,1,1
6,1,2,18,18,1,1,20,D,1,1
7,1,1,55,57,1,1,60,D,1,1
7,1,2,61,-23,1,1,60,D,1,1
8,2,1,61,70,2,3,100,D,1,1
8,2,2,-100,63,1,3,100,D,1,1
9,2,1,52,45,2,3,60,D,1,1
9,2,2,-100,61,1,3,60,D,1,1
10,1,1,60,60,2,1,80,D,1,1
10,1,2,52,-32,1,1,80,D,1,1
11,2,1,0,3,2,3,40,D,1,1
11,2,2,-100,0,1,3,40,D,1,1
12,1,1,15,18,1,3,40,D,1,1
12,1,2,20,-15,1,3,40,D,1,1
13,1,1,48,48,2,1,100,D,1,1
13,1,2,77,-39,2,1,100,D,1,1
14,0,1,-100,-100,1,3,0,D,1,1
14,0,2,-100,-100,2,3,0,D,1,1
15,1,1,12,19,2,3,20,D,1,1
15,1,2,0,0,1,3,20,D,1,1
16,2,1,0,0,1,3,20,D,1,1
16,2,2,-100,0,2,3,20,D,1,1
17,2,1,76,73,2,1,80,D,1,1
17,2,2,-100,66,2,1,80,D,1,1
18,2,1,13,20,2,1,20,D,1,1
18,2,2,-100,9,1,1,20,D,1,1
19,2,1,51,53,1,1,100,D,1,1
19,2,2,-100,88,1,1,100,D,1,1
20,0,1,-100,-100,1,1,0,D,1,1
20,0,2,-100,-100,1,1,0,D,1,1
21,1,1,47,46,1,3,60,D,1,1
21,1,2,0,20,1,3,60,D,1,1
22,2,1,72,68,1,3,80,D,1,1
22,2,2,-100,95,2,3,80,D,1,1
23,1,1,0,0,2,3,20,D,1,2
23,1,2,0,0,2,3,20,D,1,2
24,0,1,-100,-100,1,1,0,D,1,2
24,0,2,-100,-100,1,1,0,D,1,2
25,1,1,51,58,1,1,60,D,1,2
25,1,2,56,-23,2,1,60,D,1,2
26,1,1,77,90,1,3,80,D,1,2
26,1,2,92,-35,2,3,80,D,1,2
27,0,1,-100,-100,2,3,0,D,1,2
27,0,2,-100,-100,1,3,0,D,1,2
28,1,1,45,48,1,1,40,D,1,2
28,1,2,70,15,1,1,40,D,1,2
29,2,1,62,57,1,3,60,D,1,2
29,2,2,-100,85,1,3,60,D,1,2
30,1,1,80,75,1,1,80,D,1,2
30,1,2,100,14,1,1,80,D,1,2
31,2,1,59,59,2,3,100,D,1,2
31,2,2,-100,54,1,3,100,D,1,2
32,2,1,51,49,2,1,60,D,1,2
32,2,2,-100,64,1,1,60,D,1,2
33,2,1,32,24,1,3,40,D,1,2
33,2,2,-100,50,1,3,40,D,1,2
34,2,1,72,67,2,1,100,D,1,2
34,2,2,-100,82,1,1,100,D,1,2
35,1,1,36,32,2,1,20,D,1,2
35,1,2,46,23,1,1,20,D,1,2
36,2,1,73,81,2,3,80,D,1,2
36,2,2,-100,96,2,3,80,D,1,2
37,2,1,54,44,1,1,40,D,1,2
37,2,2,-100,78,2,1,40,D,1,2
38,1,1,34,46,1,3,40,D,1,2
38,1,2,39,24,1,3,40,D,1,2
39,1,1,43,41,2,3,100,D,1,2
39,1,2,72,26,2,3,100,D,1,2
40,1,1,44,53,1,1,100,D,1,2
40,1,2,39,41,1,1,100,D,1,2
41,2,1,9,9,2,1,20,D,1,2
41,2,2,-100,27,1,1,20,D,1,2
42,2,1,0,0,1,3,20,D,1,2
42,2,2,-100,10,1,3,20,D,1,2
43,2,1,59,58,2,1,80,D,1,2
43,2,2,10,20,2,1,80,D,1,2
44,1,1,29,45,1,3,60,D,1,2
44,1,2,79,-6,2,3,60,D,1,2
45,2,1,54,52,1,3,100,D,1,3
45,2,2,-100,35,1,3,100,D,1,3
46,2,1,16,10,1,1,100,D,1,3
46,2,2,-100,7,2,1,100,D,1,3
47,0,1,-100,-100,1,3,0,D,1,3
47,0,2,16,-100,2,3,0,D,1,3
48,2,1,11,11,1,1,20,D,1,3
48,2,2,-100,16,2,1,20,D,1,3
49,2,1,39,40,2,1,40,D,1,3
49,2,2,-100,73,1,1,40,D,1,3
50,2,1,59,66,2,3,80,D,1,3
50,2,2,-100,77,2,3,80,D,1,3
51,2,1,70,65,1,1,80,D,1,3
51,2,2,22,0,1,1,80,D,1,3
52,1,1,66,64,2,1,40,D,1,3
52,1,2,46,6,2,1,40,D,1,3
53,1,1,78,77,1,3,100,D,1,3
53,1,2,84,-93,1,3,100,D,1,3
54,2,1,0,0,1,3,20,D,1,3
54,2,2,-100,9,1,3,20,D,1,3
55,1,1,71,71,1,1,100,D,1,3
55,1,2,71,-12,1,1,100,D,1,3
56,1,1,74,65,2,1,80,D,1,3
56,1,2,54,-43,2,1,80,D,1,3
57,1,1,0,17,1,3,60,D,1,3
57,1,2,45,27,1,3,60,D,1,3
58,1,1,14,15,1,3,40,D,1,3
58,1,2,32,0,2,3,40,D,1,3
59,1,1,12,14,1,3,80,D,1,3
59,1,2,65,5,1,3,80,D,1,3
60,1,1,29,10,1,3,20,D,1,3
60,1,2,-8,0,1,3,20,D,1,3
61,2,1,54,58,2,3,60,D,1,3
61,2,2,25,-84,1,3,60,D,1,3
62,2,1,50,60,1,1,60,D,1,3
62,2,2,-100,61,2,1,60,D,1,3
63,2,1,35,17,1,3,40,D,1,3
63,2,2,-100,17,1,3,40,D,1,3
64,1,1,29,22,1,1,60,D,1,3
64,1,2,15,-7,2,1,60,D,1,3
65,0,1,-100,-100,2,1,0,D,1,3
65,0,2,-100,-100,1,1,0,D,1,3
66,1,1,21,15,1,1,20,D,1,3
